Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Software Engineer,$124000 - $174000,Conduct financial analysis to support decision making,3.5,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2004,Public,Marketing,Financial,$500M,"MoneyWorks, CapitalInsights"
Software Engineer,$69000 - $171000,Lead and manage projects to successful completion,4.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",2020,Private,Education,Services,$300M,"TeamPro, ProjectSolutions"
Project Manager,$157000 - $95000,Oversee product development from ideation to launch,4.0,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2011,Public,Software,Consumer Goods,$1B+,"InnovationHub, MarketPro"
UX Designer,$156000 - $151000,Analyze business processes and provide solutions,4.6,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1980,Public,Health,Professional Services,$400M,"ConsultMaster, BizExperts"
Operations Manager,$99000 - $130000,Oversee product development from ideation to launch,4.1,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2009,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Sales Manager,$105000 - $223000,Analyze business processes and provide solutions,3.5,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2002,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Scientist,$195000 - $238000,Prepare and manage financial records and reports,4.4,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2015,Public,Education,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$64000 - $99000,Design user interfaces and improve user experiences,4.0,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1981,Private,Software,Creative,$250M,"UserFlow, ExperienceHub"
Sales Manager,$52000 - $151000,Lead and manage projects to successful completion,5.0,Project Leads,"Denver, CO","Denver, CO","500-1,000",1999,Private,Marketing,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$74000 - $213000,Lead and manage projects to successful completion,4.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",1989,Private,Software,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$136000 - $126000,Manage human resources and employee relations,3.5,People Solutions,"Miami, FL","Miami, FL",200-500,2016,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
UX Designer,$143000 - $169000,Analyze and interpret complex data using ML techniques,4.8,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2007,Private,Software,IT,$500M,"DataWorld, Insight Global"
Product Manager,$77000 - $82000,Analyze and interpret complex data using ML techniques,3.9,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2022,Private,Retail,IT,$500M,"DataWorld, Insight Global"
Marketing Manager,$134000 - $221000,Design user interfaces and improve user experiences,3.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2019,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$135000 - $160000,Conduct financial analysis to support decision making,3.5,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2010,Public,Health,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Analyst,$198000 - $194000,Manage human resources and employee relations,4.6,People Solutions,"Miami, FL","Miami, FL",200-500,2005,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Sales Manager,$81000 - $110000,Analyze business processes and provide solutions,3.0,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1974,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Marketing Manager,$185000 - $208000,Analyze and interpret complex data using ML techniques,3.1,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2002,Private,Marketing,IT,$500M,"DataWorld, Insight Global"
Data Scientist,$53000 - $239000,Prepare and manage financial records and reports,3.6,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1979,Public,Health,Financial,$100M,"Accounting Solutions, TaxPro"
Project Manager,$182000 - $230000,Oversee product development from ideation to launch,3.1,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1979,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
UX Designer,$124000 - $176000,Manage human resources and employee relations,3.7,People Solutions,"Miami, FL","Miami, FL",200-500,1995,Private,Finance,Services,$150M,"Workplace Solutions, HR Hub"
Data Analyst,$109000 - $151000,Analyze and interpret complex data using ML techniques,4.6,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2015,Private,Retail,IT,$500M,"DataWorld, Insight Global"
Data Scientist,$104000 - $209000,Manage human resources and employee relations,4.0,People Solutions,"Miami, FL","Miami, FL",200-500,1999,Private,Health,Services,$150M,"Workplace Solutions, HR Hub"
Data Analyst,$191000 - $237000,Develop and maintain software systems,3.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",2012,Public,Marketing,Technology,$300M,"DevSoft, CodeTech"
Product Manager,$185000 - $101000,Analyze business processes and provide solutions,4.8,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1989,Public,Software,Professional Services,$400M,"ConsultMaster, BizExperts"
Sales Manager,$55000 - $110000,Lead and manage projects to successful completion,5.0,Project Leads,"Denver, CO","Denver, CO","500-1,000",1995,Private,Technology,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$162000 - $179000,Biology expert to teach students,4.0,bio,"Miami, FL","Miami, FL",200-500,2010,Private,Health,Services,$15M,"Chaithanya,narayana"
Operations Manager,$82000 - $198000,Conduct financial analysis to support decision making,3.0,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1977,Public,Consulting,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Analyst,$165000 - $248000,Conduct financial analysis to support decision making,3.5,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2017,Public,Marketing,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Scientist,$174000 - $212000,Design user interfaces and improve user experiences,3.3,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1996,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Sales Manager,$113000 - $136000,Conduct financial analysis to support decision making,4.0,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1980,Public,Retail,Financial,$500M,"MoneyWorks, CapitalInsights"
Operations Manager,$65000 - $198000,Oversee product development from ideation to launch,4.0,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1989,Public,Marketing,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Analyst,$143000 - $214000,Develop and maintain software systems,3.9,Code Masters,"Austin, TX","Austin, TX","500-1,000",2006,Public,Technology,Technology,$300M,"DevSoft, CodeTech"
Product Manager,$165000 - $124000,Oversee product development from ideation to launch,4.6,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2019,Public,Technology,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Analyst,$136000 - $219000,Manage human resources and employee relations,4.3,People Solutions,"Miami, FL","Miami, FL",200-500,1979,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
Sales Manager,$139000 - $216000,Analyze and interpret complex data using ML techniques,4.6,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1985,Private,Software,IT,$500M,"DataWorld, Insight Global"
Software Engineer,$179000 - $197000,Design user interfaces and improve user experiences,3.6,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1973,Private,Technology,Creative,$250M,"UserFlow, ExperienceHub"
Software Engineer,$115000 - $102000,Prepare and manage financial records and reports,4.8,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1999,Public,Health,Financial,$100M,"Accounting Solutions, TaxPro"
Operations Manager,$105000 - $192000,Develop and maintain software systems,3.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",1979,Public,Education,Technology,$300M,"DevSoft, CodeTech"
Data Scientist,$155000 - $233000,Oversee product development from ideation to launch,3.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1982,Public,Consulting,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Scientist,$136000 - $159000,Biology expert to teach students,3.2,bio,"Miami, FL","Miami, FL",200-500,1992,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Software Engineer,$155000 - $98000,Oversee product development from ideation to launch,3.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2016,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$131000 - $193000,Analyze business processes and provide solutions,3.2,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1992,Public,Software,Professional Services,$400M,"ConsultMaster, BizExperts"
Sales Manager,$138000 - $237000,Biology expert to teach students,4.8,bio,"Miami, FL","Miami, FL",200-500,1978,Private,Software,Services,$15M,"Chaithanya,narayana"
Sales Manager,$158000 - $203000,Develop and maintain software systems,4.3,Code Masters,"Austin, TX","Austin, TX","500-1,000",1998,Public,Marketing,Technology,$300M,"DevSoft, CodeTech"
Project Manager,$114000 - $166000,Lead marketing campaigns and strategies,4.4,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2010,Private,Finance,Services,$100M,"AdFocus, BrandBoost"
Marketing Manager,$60000 - $88000,Biology expert to teach students,3.4,bio,"Miami, FL","Miami, FL",200-500,2004,Private,Education,Services,$15M,"Chaithanya,narayana"
Marketing Manager,$54000 - $151000,Manage human resources and employee relations,3.3,People Solutions,"Miami, FL","Miami, FL",200-500,2011,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
Software Engineer,$171000 - $228000,Design user interfaces and improve user experiences,3.8,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1996,Private,Health,Creative,$250M,"UserFlow, ExperienceHub"
Product Manager,$75000 - $244000,Biology expert to teach students,3.8,bio,"Miami, FL","Miami, FL",200-500,2019,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Data Analyst,$186000 - $246000,Design user interfaces and improve user experiences,4.6,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1971,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
Project Manager,$54000 - $106000,Biology expert to teach students,3.2,bio,"Miami, FL","Miami, FL",200-500,2016,Private,Health,Services,$15M,"Chaithanya,narayana"
Data Scientist,$94000 - $96000,Analyze and interpret complex data using ML techniques,4.9,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1971,Private,Software,IT,$500M,"DataWorld, Insight Global"
Data Scientist,$100000 - $139000,Lead and manage projects to successful completion,4.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",2012,Private,Education,Services,$300M,"TeamPro, ProjectSolutions"
Data Analyst,$52000 - $127000,Lead and manage projects to successful completion,3.4,Project Leads,"Denver, CO","Denver, CO","500-1,000",1981,Private,Health,Services,$300M,"TeamPro, ProjectSolutions"
Financial Analyst,$86000 - $241000,Analyze business processes and provide solutions,3.1,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1993,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
Financial Analyst,$117000 - $203000,Develop and maintain software systems,3.2,Code Masters,"Austin, TX","Austin, TX","500-1,000",1977,Public,Marketing,Technology,$300M,"DevSoft, CodeTech"
Data Scientist,$188000 - $99000,Conduct financial analysis to support decision making,3.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2008,Public,Consulting,Financial,$500M,"MoneyWorks, CapitalInsights"
Financial Analyst,$142000 - $143000,Biology expert to teach students,3.4,bio,"Miami, FL","Miami, FL",200-500,1990,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Data Scientist,$119000 - $80000,Design user interfaces and improve user experiences,4.2,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1974,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Software Engineer,$101000 - $127000,Manage human resources and employee relations,4.2,People Solutions,"Miami, FL","Miami, FL",200-500,1993,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$74000 - $115000,Biology expert to teach students,3.7,bio,"Miami, FL","Miami, FL",200-500,2015,Private,Health,Services,$15M,"Chaithanya,narayana"
Data Scientist,$112000 - $243000,Analyze and interpret complex data using ML techniques,3.7,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2021,Private,Technology,IT,$500M,"DataWorld, Insight Global"
Sales Manager,$114000 - $140000,Manage human resources and employee relations,4.7,People Solutions,"Miami, FL","Miami, FL",200-500,1991,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
Operations Manager,$52000 - $211000,Prepare and manage financial records and reports,3.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2011,Public,Marketing,Financial,$100M,"Accounting Solutions, TaxPro"
Software Engineer,$120000 - $120000,Oversee product development from ideation to launch,4.3,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1979,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Analyst,$182000 - $227000,Analyze and interpret complex data using ML techniques,4.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1993,Private,Health,IT,$500M,"DataWorld, Insight Global"
Data Analyst,$161000 - $210000,Conduct financial analysis to support decision making,4.1,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1984,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$122000 - $221000,Oversee product development from ideation to launch,4.3,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1996,Public,Finance,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Software Engineer,$66000 - $219000,Lead and manage projects to successful completion,4.2,Project Leads,"Denver, CO","Denver, CO","500-1,000",2002,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
Software Engineer,$160000 - $240000,Conduct financial analysis to support decision making,3.2,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2013,Public,Consulting,Financial,$500M,"MoneyWorks, CapitalInsights"
Product Manager,$59000 - $225000,Conduct financial analysis to support decision making,4.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2020,Public,Retail,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Scientist,$52000 - $166000,Manage human resources and employee relations,4.9,People Solutions,"Miami, FL","Miami, FL",200-500,2019,Private,Consulting,Services,$150M,"Workplace Solutions, HR Hub"
Financial Analyst,$121000 - $203000,Biology expert to teach students,4.1,bio,"Miami, FL","Miami, FL",200-500,2022,Private,Software,Services,$15M,"Chaithanya,narayana"
UX Designer,$79000 - $109000,Analyze business processes and provide solutions,4.4,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1984,Public,Finance,Professional Services,$400M,"ConsultMaster, BizExperts"
Operations Manager,$66000 - $148000,Conduct financial analysis to support decision making,4.2,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2003,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Project Manager,$112000 - $84000,Lead and manage projects to successful completion,4.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",2003,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Project Manager,$118000 - $192000,Oversee product development from ideation to launch,4.8,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2009,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$99000 - $224000,Design user interfaces and improve user experiences,3.0,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1992,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
Product Manager,$70000 - $245000,Oversee product development from ideation to launch,5.0,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1986,Public,Consulting,Consumer Goods,$1B+,"InnovationHub, MarketPro"
UX Designer,$118000 - $101000,Oversee product development from ideation to launch,4.3,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2017,Public,Software,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Sales Manager,$161000 - $185000,Prepare and manage financial records and reports,4.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2000,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
Financial Analyst,$193000 - $178000,Conduct financial analysis to support decision making,3.2,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2003,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Product Manager,$180000 - $244000,Biology expert to teach students,4.1,bio,"Miami, FL","Miami, FL",200-500,2006,Private,Retail,Services,$15M,"Chaithanya,narayana"
Marketing Manager,$156000 - $171000,Lead marketing campaigns and strategies,3.0,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2013,Private,Finance,Services,$100M,"AdFocus, BrandBoost"
Sales Manager,$71000 - $183000,Prepare and manage financial records and reports,4.9,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2017,Public,Consulting,Financial,$100M,"Accounting Solutions, TaxPro"
Financial Analyst,$167000 - $124000,Biology expert to teach students,4.3,bio,"Miami, FL","Miami, FL",200-500,2012,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Marketing Manager,$66000 - $218000,Develop and maintain software systems,3.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",2009,Public,Education,Technology,$300M,"DevSoft, CodeTech"
Data Scientist,$114000 - $108000,Conduct financial analysis to support decision making,3.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2006,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Marketing Manager,$131000 - $178000,Oversee product development from ideation to launch,4.8,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2016,Public,Marketing,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$112000 - $122000,Prepare and manage financial records and reports,4.6,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2021,Public,Technology,Financial,$100M,"Accounting Solutions, TaxPro"
Data Scientist,$62000 - $149000,Develop and maintain software systems,3.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",1983,Public,Marketing,Technology,$300M,"DevSoft, CodeTech"
Sales Manager,$123000 - $146000,Lead and manage projects to successful completion,4.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",1987,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
Data Scientist,$112000 - $120000,Oversee product development from ideation to launch,4.8,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2011,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Project Manager,$132000 - $159000,Analyze and interpret complex data using ML techniques,4.9,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1981,Private,Marketing,IT,$500M,"DataWorld, Insight Global"
UX Designer,$151000 - $169000,Lead marketing campaigns and strategies,4.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2016,Private,Consulting,Services,$100M,"AdFocus, BrandBoost"
Marketing Manager,$171000 - $103000,Design user interfaces and improve user experiences,4.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1979,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Operations Manager,$158000 - $119000,Develop and maintain software systems,3.4,Code Masters,"Austin, TX","Austin, TX","500-1,000",1970,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$112000 - $128000,Analyze and interpret complex data using ML techniques,3.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2015,Private,Consulting,IT,$500M,"DataWorld, Insight Global"
Data Scientist,$176000 - $191000,Analyze and interpret complex data using ML techniques,4.2,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1978,Private,Health,IT,$500M,"DataWorld, Insight Global"
Data Scientist,$128000 - $197000,Prepare and manage financial records and reports,4.8,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1993,Public,Education,Financial,$100M,"Accounting Solutions, TaxPro"
Data Analyst,$87000 - $96000,Oversee product development from ideation to launch,3.6,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1986,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Scientist,$184000 - $99000,Conduct financial analysis to support decision making,3.0,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1979,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Marketing Manager,$100000 - $95000,Develop and maintain software systems,3.7,Code Masters,"Austin, TX","Austin, TX","500-1,000",1982,Public,Education,Technology,$300M,"DevSoft, CodeTech"
Marketing Manager,$179000 - $125000,Lead and manage projects to successful completion,4.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",2016,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$83000 - $232000,Biology expert to teach students,3.6,bio,"Miami, FL","Miami, FL",200-500,1984,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Product Manager,$180000 - $188000,Oversee product development from ideation to launch,4.4,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1980,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Analyst,$154000 - $233000,Develop and maintain software systems,3.0,Code Masters,"Austin, TX","Austin, TX","500-1,000",1970,Public,Technology,Technology,$300M,"DevSoft, CodeTech"
Software Engineer,$135000 - $214000,Analyze business processes and provide solutions,4.9,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2008,Public,Software,Professional Services,$400M,"ConsultMaster, BizExperts"
UX Designer,$180000 - $217000,Design user interfaces and improve user experiences,3.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2009,Private,Technology,Creative,$250M,"UserFlow, ExperienceHub"
Marketing Manager,$108000 - $139000,Prepare and manage financial records and reports,3.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2017,Public,Education,Financial,$100M,"Accounting Solutions, TaxPro"
Sales Manager,$142000 - $177000,Design user interfaces and improve user experiences,4.3,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2007,Private,Education,Creative,$250M,"UserFlow, ExperienceHub"
Data Analyst,$192000 - $84000,Lead marketing campaigns and strategies,3.7,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1988,Private,Retail,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$111000 - $144000,Lead and manage projects to successful completion,3.9,Project Leads,"Denver, CO","Denver, CO","500-1,000",1990,Private,Marketing,Services,$300M,"TeamPro, ProjectSolutions"
UX Designer,$89000 - $179000,Lead and manage projects to successful completion,4.3,Project Leads,"Denver, CO","Denver, CO","500-1,000",1988,Private,Technology,Services,$300M,"TeamPro, ProjectSolutions"
Sales Manager,$166000 - $161000,Analyze and interpret complex data using ML techniques,4.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1977,Private,Education,IT,$500M,"DataWorld, Insight Global"
Marketing Manager,$120000 - $230000,Manage human resources and employee relations,4.7,People Solutions,"Miami, FL","Miami, FL",200-500,2004,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Operations Manager,$172000 - $81000,Lead marketing campaigns and strategies,3.8,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2010,Private,Health,Services,$100M,"AdFocus, BrandBoost"
Financial Analyst,$74000 - $234000,Analyze business processes and provide solutions,3.6,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1977,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Sales Manager,$104000 - $194000,Design user interfaces and improve user experiences,4.5,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2018,Private,Consulting,Creative,$250M,"UserFlow, ExperienceHub"
Software Engineer,$114000 - $112000,Develop and maintain software systems,4.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",2017,Public,Finance,Technology,$300M,"DevSoft, CodeTech"
Data Analyst,$68000 - $144000,Analyze and interpret complex data using ML techniques,4.4,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2015,Private,Health,IT,$500M,"DataWorld, Insight Global"
Operations Manager,$179000 - $234000,Analyze business processes and provide solutions,4.1,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1971,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Operations Manager,$195000 - $230000,Lead marketing campaigns and strategies,4.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1997,Private,Health,Services,$100M,"AdFocus, BrandBoost"
Sales Manager,$83000 - $107000,Oversee product development from ideation to launch,4.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1976,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Scientist,$135000 - $113000,Oversee product development from ideation to launch,4.1,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2001,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Analyst,$53000 - $120000,Lead marketing campaigns and strategies,4.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1986,Private,Consulting,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$121000 - $179000,Oversee product development from ideation to launch,4.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1987,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Scientist,$124000 - $235000,Analyze business processes and provide solutions,3.2,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2005,Public,Finance,Professional Services,$400M,"ConsultMaster, BizExperts"
Product Manager,$178000 - $158000,Analyze business processes and provide solutions,3.1,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1996,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
Financial Analyst,$183000 - $143000,Oversee product development from ideation to launch,3.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2021,Public,Technology,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Marketing Manager,$109000 - $244000,Biology expert to teach students,4.4,bio,"Miami, FL","Miami, FL",200-500,2015,Private,Finance,Services,$15M,"Chaithanya,narayana"
Marketing Manager,$81000 - $84000,Analyze business processes and provide solutions,4.2,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1990,Public,Health,Professional Services,$400M,"ConsultMaster, BizExperts"
Marketing Manager,$127000 - $139000,Conduct financial analysis to support decision making,3.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1973,Public,Consulting,Financial,$500M,"MoneyWorks, CapitalInsights"
Software Engineer,$113000 - $162000,Manage human resources and employee relations,4.9,People Solutions,"Miami, FL","Miami, FL",200-500,2008,Private,Health,Services,$150M,"Workplace Solutions, HR Hub"
Marketing Manager,$90000 - $118000,Prepare and manage financial records and reports,3.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1993,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
Operations Manager,$176000 - $97000,Biology expert to teach students,3.1,bio,"Miami, FL","Miami, FL",200-500,1972,Private,Marketing,Services,$15M,"Chaithanya,narayana"
UX Designer,$77000 - $217000,Prepare and manage financial records and reports,4.4,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2015,Public,Technology,Financial,$100M,"Accounting Solutions, TaxPro"
UX Designer,$123000 - $185000,Oversee product development from ideation to launch,4.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1985,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Product Manager,$99000 - $160000,Manage human resources and employee relations,3.6,People Solutions,"Miami, FL","Miami, FL",200-500,2020,Private,Finance,Services,$150M,"Workplace Solutions, HR Hub"
UX Designer,$61000 - $218000,Develop and maintain software systems,4.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",2007,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
Software Engineer,$175000 - $247000,Manage human resources and employee relations,4.1,People Solutions,"Miami, FL","Miami, FL",200-500,2001,Private,Software,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$100000 - $112000,Analyze and interpret complex data using ML techniques,3.7,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1998,Private,Health,IT,$500M,"DataWorld, Insight Global"
